County	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total	5k Events Running	junior Events Running	5k Events Cancelled	junior Events Cancelled
Aberdeen City			2	1	3			Aberdeen|Hazlehead|	Duthie juniors|
Aberdeenshire			4		4			Stonehaven|Ellon|Crathes Castle|Ury Riverside|	
Angus			1		1			Montrose|	
Argyll and Bute			2		2			Ganavan Sands|Mount Stuart|	
Dumfries and Galloway			2	1	3			Crichton|Agnew|	Dumfries juniors|
Dundee City			1	1	2			Camperdown|	Strathmartine juniors|
East Ayrshire			1		1			Dean Castle Country Park|	
East Lothian			2		2			Meadowmill|Lochend Woods|	
East Renfrewshire		1			1		Rouken Glen juniors|		
Edinburgh		2	3		5		The Meadows juniors|Inverleith juniors|	Edinburgh|Portobello|Oriam|	
Falkirk		1	1		2		Helix juniors|	Falkirk|	
Fife		1	4		5		Duloch juniors|	St Andrews|Kirkcaldy|Dunfermline|Lochore Meadows|	
Glasgow City		1	7	1	9		Victoria juniors, Glasgow|	Pollok|Tollcross|Victoria|Ruchill|Springburn|Drumchapel|Queen’s, Glasgow|	Elder Park juniors|
Highland			5		5			Aviemore|Inverness|Alness|Thurso|Fort William|	
Inverclyde			1	1	2			Greenock|	Battery Park juniors|
Midlothian			1		1			Vogrie|	
Moray			1		1			Elgin|	
North Ayrshire		1	1		2		Jacks Road juniors|	Eglinton|	
North Lanarkshire		1	2		3		Drumpellier juniors|	Strathclyde|Drumpellier Country|	
Orkney Islands	1				1	Kirkwall|			
Perth and Kinross		2	3	1	6		Loch Leven juniors|Perth juniors|	Perth|Loch Leven|Faskally Forest|	MacRosty juniors|
Renfrewshire			1	1	2			Linwood|	Barshaw juniors|
Scottish Borders			2		2			Hay Lodge|Wallaceneuk|	
Shetland Islands	1				1	Bressay|			
South Ayrshire		1	3		4		Prestwick Oval juniors|	Troon|Ayr|Girvan Prom|	
South Lanarkshire			1		1			Lanark Moor|	
Stirling		1	2		3		Stirling juniors|	Plean|University of Stirling|	
West Dunbartonshire			1		1			Levengrove|	
West Lothian		1	2		3		Bankton Mains Park juniors|	Livingston|Polkemmet Country|	
Western Isles			1		1			Lews Castle|	
Total	2	13	57	7	79
